Company,title,location,date_posted,link,role description,role responsibilities,role reqs,final fit,yrs exp req,Description,URL,fit,Unnamed: 8,fit reason,role years experience
FLORA,GTM & Operations,New York City,"Nov 1, 2025",https://jobs.ashbyhq.com/FLORA/442eebb3-59d6-4afc-9b4f-23c4866074f0,"FLORA is hiring a GTM & Operations associate to build and scale go-to-market programs, partner communities, events, and the operations systems that support growth. The role combines creative strategy and hands-on operational execution across marketing, partnerships, events, sales workflows, and company operations.","['Design, launch, execute, and evolve programs that engage FLORA’s community and customers', 'Lead partnership programs (Creative Partner and Expert communities): recruit, onboard, and drive partner engagement', 'Collaborate with Growth and Sales to operationalize and run marketing campaigns', 'Implement workflows and automations to streamline sales operations and improve customer experience', 'Own end-to-end strategy and production for FLORA-hosted events', 'Support company-wide operations including office logistics, people & culture initiatives, and process improvements']","['Proven experience building and operating communities at a high level', 'Strong relationship-building and communication skills (natural connector)', 'Passionate, mission-driven, and committed work ethic', 'Ownership mindset with proactive problem-solving and systems improvement', 'Ability to move quickly and operate with a strong sense of urgency', 'High standards for excellence, low ego, and teamwork-oriented', 'Comfortable in fast-moving startup environments', 'Systematic, detail-oriented, and reliable execution']",8,,Your intelligent canvas.,https://www.florafauna.ai/,8.0,,"Strong GTM/ops fit — event, community, and ops experience (student-org founder, EIR, venture/data ops); minor gap in formal, scaled partner/program ownership and marketing campaign leadership.",
Rutter,Growth Associate,New York City,"Jul 23, 2025",https://jobs.ashbyhq.com/rutter/e5e3f36a-fe03-45da-b7d3-f84d421b2470,"The provided page contains only frontend scripts, loader logic, and a message to enable JavaScript; no job title, company, responsibilities, or qualifications are present in the text.",[],['Enable JavaScript in the browser to load and view the actual job posting (content is delivered dynamically via frontend scripts).'],8,,Connecting the world's business data.,https://www.rutter.com/,9.0,,"Strong match: analytics, A/B testing, ops and growth-oriented experience; job details unavailable (JS page) and limited explicit growth/marketing title experience.",
Kingdom Supercultures,Looking for another business/operational role?,Brooklyn,"Aug 23, 2021",https://jobs.ashbyhq.com/kingdom/362b1631-8010-4b42-b58b-55a244ba6751,"Kingdom is a Brooklyn-based ingredient company that develops clinically-validated postbiotic Superculture® ingredients for pet health (with human products in development). The company is hiring for general business/operational roles, emphasizes values (solve from first principles, collaborate with kindness, be resourceful and resilient), and offers competitive salary, equity, fully-paid medical/vision/dental, flexible PTO, 401(k), parental leave, and commuter benefits.","['Broad business/operational duties — specific day-to-day responsibilities are not listed in the posting and will vary by role.', ""Apply or submit a resume to be considered for available business/operational positions (positions are posted on the company's careers page).""]","[""Submit a resume / apply via Kingdom's careers page"", 'Alignment with company values: solve from first principles; collaborate with kindness; be resourceful and resilient', 'Willingness to work full-time in Brooklyn, NY (location and employment type specified)']",8,,Natural functional ingredients that actually work.,https://www.kingdomsuperculture.com/,9.0,,Strong fit — general business/ops role matches his strategy/operations/tech experience and startup background; minor negatives are biotech/pet-health focus and required Brooklyn relocation.,
Conversion,Founding Deployment Strategist,San Francisco Office,"Oct 15, 2025",https://jobs.ashbyhq.com/conversion/a1951f5f-4ef3-4c10-8a6f-631630b370f1,"Conversion is an early-stage, well-funded AI-native marketing automation startup building a unified platform for growth teams. The Founding Deployment Strategist will ensure enterprise AI deployments and pilots deliver value—working cross-functionally to execute POCs, migrate customers onto the platform, advise marketing teams, and feed customer insights into product—based in San Francisco (in-person, 5 days/week).","['Sales enablement: partner with sales to help close deals and execute proofs-of-concept for enterprise customers', ""Customer migration: orchestrate migration from customers' existing marketing infrastructure and act as the bridge between customer teams and engineers for smooth implementation"", 'Drive customer success with Conversion: advise marketing teams on using the platform to significantly improve marketing outcomes', 'Shape product: work closely with engineering and product teams to surface and incorporate customer feedback']","['Thrive working cross-functionally alongside engineering, growth, and product teams', 'Studied or worked in software engineering (but prefer customer-facing/strategic work over writing code full-time)', 'Genuine desire to help customers succeed and derive fulfillment from customer outcomes', 'Willingness to work in-person in San Francisco five days per week']",8,,AI-native marketing automation.,https://conversion.ai/,9.0,,Strong tech + product/ops + customer-facing background aligned with deployment/GTM goals; limited explicit enterprise marketing-platform migration/POC experience and SF in‑person availability is uncertain.,
Hook,Marketing Generalist - Customer Growth,London,"Sep 26, 2025",https://jobs.ashbyhq.com/hook/17be8a99-03ea-4ad5-b15c-aeb0baa50e55,"The provided posting contains only webpage boilerplate and JavaScript for loading a jobs page; it does not include any job title, company information, responsibilities, or requirements.",[],[],8,,AI agents to scale CS.,https://hook.co/,8.0,,"Strong fit — growth/marketing title matches candidate’s analytics + ops experience and goals; posting has no details, so some uncertainty.",
Finch,Product Operations Generalist,"San Francisco, New York City","Oct 10, 2025",https://jobs.lever.co/finch/7261966d-e1e2-45f9-8732-499fe7b1d911,"Finch is hiring a Product Operations Generalist. The provided posting text is mostly styling/CSS and does not include substantive details about the company, team, responsibilities, or qualifications.",[],[],8,,The unified API for employment systems.,https://www.tryfinch.com/,8.0,,Strong match to candidate's ops/tech/analytics background and career goals; posting lacks role details.,
Narmi,Customer Success Associate,"New York, NY","Nov 6, 2025",https://jobs.lever.co/narmi/9ff52396-b4b5-4b24-9353-319e101f8a81,"Customer Success Associate at Narmi, a fintech company that builds digital banking platforms. The role supports customer onboarding, adoption, and retention by guiding users, resolving issues, and coordinating with internal teams to ensure product success.","['Onboard new customers and guide them through product setup and implementation', 'Provide day-to-day customer support, troubleshoot issues, and escalate when necessary', 'Drive product adoption through training, demos, and best-practice guidance', 'Monitor customer health and usage metrics to identify risk and growth opportunities', 'Collect and relay customer feedback to product and engineering teams', 'Collaborate with sales, product, and implementation teams to ensure a smooth customer experience']","['Strong verbal and written communication and customer-facing skills', 'Experience in a customer support, success, or account management role (preferably SaaS or fintech)', 'Ability to learn technical products quickly and explain them to non-technical users', 'Problem-solving orientation and attention to detail', 'Comfort using CRMs and customer support tools', 'Team-oriented mindset and ability to collaborate cross-functionally']",8,,Digitalizing credit unions and regional banking.,http://narmi.com,8.0,,"Strong fit — seeks CS/deployment roles, has technical aptitude, ops and customer-facing experience; lacks direct SaaS/customer-success tenure.",
Eventual,GTM Engineer (Intern),San Francisco,"Sep 23, 2025",https://jobs.ashbyhq.com/eventualcomputing/ed172787-e45c-4ecb-99cc-32319e2687bd,"The provided posting contains only website HTML/JavaScript boilerplate and a message to enable JavaScript; no company, role, responsibilities, or requirements are present in the text.",[],[],7,,Creators of Daft.,https://www.daft.ai/blog/eventual-raises-30m-to-build-the-future-of-data,9.0,,Good match to candidate's growth/tech and analytics goals; posting has no details so fit is uncertain.,
Dust,Strategic Operations,Paris,"Aug 14, 2025",https://jobs.ashbyhq.com/dust/546a99df-1a1a-47b0-a1d5-6d3c6858addf,"Strategic Operations at Dust is a cross-functional role at a Sequoia-backed AI company building an AI operating system. The role drives growth and operational scale by leading mission-critical initiatives, designing business systems, using analytics and AI insights, and incubating new functions to help Dust expand across EU and US markets.","['Identify and implement growth opportunities across EU and US markets', 'Work with Product to prioritize and launch features for builder and admin segments', 'Design and implement business and operational systems (e.g., quote-to-cash, onboarding flows)', 'Perform analyses and research using traditional analytics and AI-powered insights to inform growth decisions', 'Incubate and help run new functions (partnerships, community, customer success, talent) before hiring dedicated teams', 'Partner with Engineering, Product, Sales, and Marketing to execute strategic initiatives and drive operational scale', 'Become a power user of Dust to build internal examples and showcase AI agent capabilities', 'Drive company-wide accountability through OKR planning, board materials, and investor communications']","['Passion for building and shipping projects, dashboards, or AI agents that solve real problems', 'Ability to execute complex, ambiguous projects spanning multiple teams', 'Proven collaborative track record working across teams and with external partners', 'Low ego and ability to work well with a wide range of people, from engineers to executives', 'Strong problem-solving skills and first-principles thinking', 'Process-oriented mindset with ability to organize people and projects to get things done', 'Proficiency in SQL and data analysis; genuine interest in AI and LLMs', '2–4 years of experience in consulting, strategy, operations, or comparable roles in high-growth tech companies', 'Experience taking initiatives from conception to launch (product, project management, or business operations)']",7,2.0,Build your team of AI agents.,https://dust.tt/,8.0,,"Strong analytics/SQL, product-ops and AI interest with cross-functional experience—falls short of 2–4 yrs full-time ops/strategy at high-growth tech.",
Two Dots,Sales Development Representative,San Francisco HQ,"Nov 4, 2024",https://jobs.ashbyhq.com/two-dots/989635f1-391d-48a4-a10b-2ba4297307ea,"Two Dots is a San Francisco-based startup building better consumer financial profiles to prevent fraud and surface value in atypical applications. They seek a Sales Development Representative to generate pipeline, drive meetings, and support the sales team; full-time in-office role reporting to the Co‑Founder/CEO, with potential to grow into an Account Executive role and compensation of $100k+ for high performers.","['Conduct outbound prospecting (cold calls) to identify and develop target accounts', 'Convert leads into booked meetings and follow up on inbound leads via email, LinkedIn, and phone', 'Partner with Account Executives to build and iterate on sales strategies', 'Drive awareness of Two Dots and support pipeline generation that influences closed-won opportunities']","['Full-time, in-office work in San Francisco, CA', 'Strong work ethic, natural sales instincts, and tenacious self-starter mentality', 'Comfortable with rejection and high-volume outreach', 'Personable with excellent communication and relationship-building skills', 'Eagerness for personal and professional growth and willingness to take on ownership', 'Experience: new graduates are welcome; candidates with 1–2 years as a BDR/SDR are also encouraged to apply']",7,,Consumer underwriting agent.,https://www.linkedin.com/company/two-dots-financial,7.0,,"Good gateway to BD/GTM—strong outreach, relationship and analytical background from VC and ops roles; lacks direct cold‑calling sales experience and is less strategic/analytic than candidate prefers.",
Eve,Sales Engineer,"Remote, US Based","Nov 12, 2025",https://jobs.lever.co/Eve/20610ca6-ebd4-4344-b07c-60c9328f3307,"The provided text only contains the job title 'Eve - Sales Engineer' and site/CSS metadata; no company information, role description, or context is included.",['Not specified in the provided text.'],['Not specified in the provided text.'],7,,Legal AI for plaintiff law firms.,https://edge.prnewswire.com/c/link/?t=0&l=en&o=4510446-1&h=1507441356&u=https%3A%2F%2Fwww.eve.legal%2F&a=Eve,7.0,,Strong technical background and customer-facing/strategy experience; lacks explicit pre-sales/enterprise sales track record.,
Strella,Business Development Representative (BDR),Strella HQ (New York City),"Oct 9, 2025",https://jobs.ashbyhq.com/strella/aada9822-ac06-477b-b86e-bcf4b9577a3c,"The provided posting contains only website/app script and placeholder UI text; there is no actual job description, company information, or role details included.",['No responsibilities listed in the posting.'],['No requirements listed in the posting.'],7,,AI-moderated interviews.,https://www.strella.io/,8.0,,Good match for BD/GTM and stakeholder-facing experience; posting has no details and sales/CRM quota-fit is unverified.,
Listen Labs,Operations,Listen HQ SF,"Apr 4, 2025",https://jobs.ashbyhq.com/listenlabs/d6b18d4b-9338-4e31-8514-879b1a7176ac,"Operations generalist role at Listen Labs, a fast-growing, Sequoia-backed AI research platform. The position works across marketing, product, and customer success to monitor customer health, drive retention and expansion, improve processes, and partner with cross-functional teams. Based in San Francisco and focused on hands-on execution and measurable impact.","['Proactively monitor customer health and engagement; identify risks early and craft success plans', 'Ensure renewals and expansions through relationship management and proactive outreach', 'Build and maintain strong customer relationships; manage internal and external deadlines and take ownership of issues (including phone outreach)', 'Partner closely with product, engineering, and sales to champion customer feedback and influence the product roadmap', 'Track and report key customer success metrics (adoption, retention, NRR, satisfaction)', 'Own daily execution, refine processes, and flag bottlenecks or operational risks', 'Support launches, logistics, follow-ups, and solve unexpected operational problems as needed']","['2–3 years experience in a highly organized role (e.g., management consulting, operations, early startup)', 'Analytical generalist comfortable with autonomy and ambiguity; able to learn quickly and solve ill-defined problems', 'Detail-oriented with strong execution skills (calendars, docs, follow-ups, processes)', 'Comfortable in a high-intensity, fast-moving environment and willing to do hands-on work', 'Strong communicator and collaborator across product, engineering, and sales', 'Ability to track and report customer success metrics and translate findings into action', 'Willingness to work in person five days a week in San Francisco']",7,2.0,Autonomous market researcher.,https://www.linkedin.com/company/listenlabss,8.0,,"Good match on cross‑functional ops, analytics, and customer-facing goals; weaker on direct CS/renewals experience, limited 2–3yr ops tenure, and SF in‑person requirement uncertainty.",
Pocus,GTM Engineer,New York,"Feb 25, 2025",https://jobs.ashbyhq.com/pocus/77167b2d-a839-4093-adb6-d21428601835,"GTM Engineer at Pocus, an AI-native prospecting platform that helps go-to-market teams uncover revenue opportunities and increase rep productivity. The role is customer-facing within the post-sales/CS organization and focuses on implementing and configuring Pocus workspaces, sales playbooks, workflows and AI models to turn customer data into revenue-driving actions while partnering cross-functionally across Product, Sales, and Engineering.","['Lead customer POCs and full implementations, building workspaces, playbooks and workflows tailored to customer goals.', 'Gather business requirements from Sales Leadership and Revenue Operations and translate them into data requests and technical designs.', 'Conduct data modeling in Pocus to surface relevant first-party data and identify data quality issues.', 'Prescribe, set up, and iterate playbooks and workspace architecture based on use case and performance.', 'Custom-train AI models for customers to power alerts and relevancy layers.', 'Recommend sales plays and proactively review/update playbooks to maximize customer value.', 'Support CSMs during implementation by providing a data-driven perspective and driving customer accountability to action.', 'Document customer context, data models, and workspace configurations and transfer knowledge to customer technical admins.', 'Bridge technical and non-technical stakeholders and partner with Product, Sales, and Customer Success to inform roadmap and ensure smooth handoffs.']","['Experience in GTM or Revenue Operations and/or working with go-to-market teams.', 'Proven experience in customer-facing implementations, POCs, or post-sales technical consulting.', 'Ability to translate business requirements into data requests and conduct data modeling.', 'Experience building/configuring workspaces, playbooks, and workflows in a SaaS product.', 'Familiarity with training or configuring AI-driven alerts/relevancy models (customer-specific).', 'Strong communication skills to bridge technical and non-technical stakeholders and to educate customer admins.', 'Collaborative, cross-functional mindset to partner with Product, Sales, Engineering, and Customer Success.', 'Detail-oriented documentation and analytical skills to monitor playbook performance and recommend iterations.', 'Cultural fit: humble, coachable (seeks feedback), optimistic, and high integrity.']",7,,10x your sales team with AI.,https://www.pocus.com/,9.0,,Strong data/ML background and customer-facing goals fit GTM Engineer; limited direct RevOps/SaaS post‑sales implementation experience.,
Credal,Founding GTM Deployment Strategist,"Credal HQ (Brooklyn, NY)","Apr 9, 2025",https://jobs.ashbyhq.com/credal/195b60fd-8344-4bf8-86fa-6dd1ac6464da,"Credal is a NYC-based startup building a secure platform for custom AI workflows used by enterprise and government customers. They are hiring a founding GTM Deployment Strategist to own and scale end-to-end customer success, drive adoption and retention, capture product feedback, and shape the product roadmap as the company grows.","['Own customer success end-to-end: onboarding, training, enablement, renewals and expansions', 'Define and document playbooks, processes and metrics to evaluate product impact and engagement', 'Engage directly with customers and cross-functional teams (engineering, GTM) to surface product feedback and remediate support issues', 'Track and analyze adoption and retention in a data-driven way and scale successful practices', 'Develop deep understanding of customer use cases and business objectives to maximize product impact on critical workflows', 'Advocate for customers to inform and influence the product roadmap by synthesizing themes from customer feedback']","['Customer-focused and empathetic with strong communication and interpersonal skills', 'High ownership mindset; able to drive projects from ambiguous start to completion', 'Comfortable in fast-paced startup environments and able to act proactively', 'Ideally some familiarity with AI technologies and technical applications', 'Willingness to work in-person at Credal’s Dumbo, Brooklyn office']",7,,Secure AI assistants for enterprise.,https://www.credal.ai/products/agent-platform,8.0,,Good GTM/analytics + AI background and startup experience; lacks explicit enterprise CS/onboarding experience and in‑person NYC fit is uncertain.,
Listen Labs,Growth Marketer,Listen HQ SF,"Nov 6, 2025",https://jobs.ashbyhq.com/listenlabs/dfa33729-75d1-4f9e-9979-fcdacd487e9c,"Listen Labs is a Sequoia-backed, AI-powered research platform hiring a Growth Marketer to work directly with the CEO to scale ARR. This early-stage, product-led startup seeks a creative, data-driven, hands-on marketer to build acquisition, content, experimentation, and analytics programs and to collaborate across product, sales, and CS.","['Design and execute multi-channel acquisition campaigns (ABM, AEO/SEO, SEM, social, growth hacks) to drive qualified leads', 'Create and launch content and storytelling assets (webinars, case studies, blog posts, white papers) to showcase value', 'Run rapid growth experiments and testing frameworks to identify and scale high-performing channels', 'Set up marketing operations: attribution, analytics, and dashboards to measure performance', 'Partner with product and engineering to improve viral loops, in-product engagement, and conversion flows', 'Align messaging and customer journey with Heads of Sales, CS, Product, and Engineering']","['Minimum 1+ years in B2B SaaS growth marketing (preferably targeting product, design, or marketing teams)', 'Experience with multi-channel acquisition tactics (ABM, SEO, SEM, social) and content-led growth', 'Strong analytical skills and experience with attribution/analytics to inform decisions', 'Hands-on execution ability — comfortable moving between strategy and doing tasks like copywriting and campaign optimization', 'Experience running growth experiments and iterating based on data', 'Collaborative, resourceful, fast-moving, and comfortable in ambiguous, high-growth startup environments', 'Consulting experience (management, strategy, or growth) is a plus']",7,1.0,Autonomous market researcher.,https://www.linkedin.com/company/listenlabss,8.0,,"Good match on analytics, experimentation, startup mentality and growth interest; lacks direct B2B SaaS multi-channel marketing/SEO/ABM experience but is trainable.",
ShopMy,Business Development Representative,US- Remote,"Oct 2, 2025",https://job-boards.greenhouse.io/shopmy/jobs/4047612008,"ShopMy is a Series B-funded creator commerce platform connecting brands with top creators. They are hiring a remote Business Development Representative to prospect and qualify new luxury brand clients, support Account Executives, manage CRM-driven pipelines, and help drive SaaS growth.","['Generate outbound qualified opportunities and manage inbound pipeline to hit or exceed quota', 'Serve as first point of contact representing ShopMy with professionalism and commercial awareness', 'Document, assess, and communicate detailed prospect notes (pain points, budgets, infrastructure, timeline) in CRM to set up Account Executives for demos', 'Perform creative research, territory planning, and targeted prospecting within assigned verticals', 'Manage HubSpot CRM data integrity and ensure accurate, accessible notes for the sales team']","['Bachelor’s degree', '1–2 years outbound sales and lead generation experience in B2B', 'Strong written and verbal communication; comfortable engaging C-level contacts', 'Creative problem solver with initiative to get in front of new business', 'Organized executor who meets deadlines, takes thorough notes, and acts quickly', 'Interest in a sales career at an early-stage startup', 'Sense of urgency and ability to drive issues to closure', 'Team-first mentality and adaptability', 'Self-motivated, driven, and dynamic personality', 'Bonus: Enterprise/SaaS/Cloud experience', 'Bonus: Strong understanding of influencer marketing']",7,1.0,World-class creator marketing programs.,https://www.linkedin.com/company/shopmy-,9.0,,"Good fit for BD/GTM goals—experience sourcing deals, stakeholder outreach, and analytics—but lacks explicit B2B outbound sales/CRM quota and influencer/SaaS experience.",
Mutiny,Enterprise Growth Strategist,New York City,"Apr 17, 2025",https://job-boards.greenhouse.io/mutiny/jobs/4535062005,"Mutiny is a B2B marketing technology company that helps customers generate pipeline and revenue from target accounts using AI-powered personalized experiences, 1:1 microsites, and account intelligence. Their customers include Snowflake, 6sense, Writer, Segment, and Qualtrics, and the company is backed by Sequoia Capital, Tiger Global, Insight Partners, and Y Combinator.","['Create and deliver AI-powered personalized web experiences and 1:1 microsites for target accounts', 'Use account intelligence to drive pipeline and revenue for B2B customers', 'Support marketing teams in scaling personalized (1:1) and account-based strategies', 'Measure and optimize campaigns and customer experiences to improve performance']","['Experience in B2B marketing, account-based marketing, or marketing technology', 'Familiarity with personalization technologies, analytics, or AI-driven marketing tools', 'Ability to work with fast-growing enterprise customers and cross-functional teams', 'Comfort working in a startup or fast-paced environment']",7,,Personalized B2B marketing platform.,https://www.mutinyhq.com/,9.0,,"Strong analytics/ML, A/B testing, startup ops and clear growth interest—good transferable fit; lacks direct ABM/personalization tooling and enterprise marketing track record.",
Dust,Forward Deployed Engineer (US),San Francisco,"Sep 23, 2025",https://jobs.ashbyhq.com/dust/67cbc47d-0520-4a03-af40-e05271a75946,"Forward Deployed Engineer at Dust, a Sequoia-backed company building an AI operating system. This customer-facing engineering role combines production software development, solutions engineering, and product work to drive customer adoption of Dust’s platform and APIs. Located in Paris or San Francisco, the role involves hands-on coding, customer engagement, and shaping product direction.","['Build technical solutions, custom integrations, APIs, and tooling for enterprise customers and contribute production code to the Dust codebase.', 'Work cross-functionally with Sales and Customer Success to onboard customers, drive account strategy, and ensure customers maximize value.', 'Surface customer feedback and field insights to influence the product roadmap and collaborate with Design and Engineering on product improvements.', 'Own end-to-end delivery from solution design through implementation, testing, and deployment.', 'Lead demo calls and present technical value to diverse audiences (including security/compliance teams) with strong technical acumen and EQ.', 'Act as a trusted advisor for strategic customers: set up workspaces, data connections, AI assistants, and workflows; enable advanced use cases to expand relationships.', 'Create success content, run workshops and training sessions, and highlight successful use cases to help users get the most value from Dust.']","['Meaningful experience in technical and customer-facing roles (e.g., software engineering, solutions architect, implementation engineer).', 'Action-oriented, organized self-starter who can solve customer issues and work scrappily when needed.', 'Strong work ethic, commitment to excellence, and deep interest in understanding customer needs and Dust’s product.', 'Ability to multitask and prioritize under pressure and ambiguity.', 'Proven ability to collaborate with cross-functional teams to achieve shared goals.', 'Data-driven mindset to interpret customer feedback and behavior.', 'Passion for technology, problem-solving, and customer success.', 'High technical aptitude with experience or comfort working with engineers and business stakeholders; experience with APIs, web development, and scripting is a plus.', 'Familiarity with large language models (e.g., GPT-4, Claude, Mistral, Gemini) is highly desirable.']",7,,Build your team of AI agents.,https://dust.tt/,7.0,,Good fit for customer-facing product+ML work and business/technical bridge; lacks clear production/API/web and explicit LLM deployment experience.,
Lovable,Marketing Analyst,Stockholm,"Nov 18, 2025",https://jobs.ashbyhq.com/lovable/bdce58c3-325b-4c7a-a399-61ed676db544,"Marketing Analyst at Lovable — a Stockholm-based, high-velocity startup that enables people to build software with plain English. The role owns measurement of growth across channels, builds attribution and LTV models, runs experiments and incrementality tests, builds dashboards, and turns messy data into clear, actionable recommendations using SQL, analytics tools and AI.","['Own attribution modeling across marketing channels (influencer, affiliate, ads, partnerships, organic) and refine measurement approaches', 'Analyze influencer and affiliate performance, including cohort analysis, lift testing, creative patterns and partner quality', 'Review full-funnel marketing metrics (CAC, LTV, ROAS, retention, payback periods) and provide insights for daily and long-term decisions', 'Calculate ROI for campaigns, channels, sponsorships, creators and affiliates and recommend where to scale, pause, or experiment', 'Build dashboards, automated reports and alerting to keep the team aligned on channel performance and marketing health', 'Identify trends in traffic, spend and conversion and flag opportunities or risks', 'Partner with engineering to ensure proper tracking and event implementation (UTMs, pixels, events, conversions)', 'Run incrementality tests, lift studies and channel experiments to inform attribution and improve media efficiency', 'Provide continuous insights and clear narratives on what’s working, what’s not, and what to test next', 'Leverage AI tools to speed analysis, automate workflows and surface insights faster']","['Experience with marketing attribution models (MMM, MTA, incrementality, first/last touch, position-based) and LTV modelling', 'Ability to analyze and optimize performance across influencer, affiliate, paid social, paid search and lifecycle channels', 'Experience evaluating campaigns end-to-end: tracking, data quality, incrementality, ROI and long-term value', 'Proficiency with SQL, spreadsheets and analytics tools; able to translate complex analysis into simple, actionable insights', 'Comfort working with messy data and deriving what matters to improve marketing spend efficiency', 'Strong analytical mindset with experience running experiments, lift tests and cohort analyses', 'Collaborative mindset to work with engineering and cross-functional teams']",7,,Full-stack AI engineer.,https://lovable.ai/,8.0,,"Strong SQL, experimentation and analytics background plus business-facing experience; limited direct marketing/attribution and influencer/channel domain experience.",
Tavily,GTM & RevOps Analyst,East Coast,"Oct 20, 2025",https://jobs.ashbyhq.com/tavily/840fb64d-2107-4ac0-b06f-00e845976437,"No job details found. The provided posting contains only website/app loader HTML, CSS and JavaScript placeholders and does not include any company, role, responsibilities, or benefits information.",[],[],7,,Connect your agent to the web.,https://tavily.com/,8.0,,"GTM/RevOps title closely matches growth/GTM goals and candidate’s analytics+ops experience, but the posting has no details so fit is uncertain.",
Stedi,Product Analytics Engineer,Remote in the USA,"Jul 24, 2025",https://jobs.ashbyhq.com/Stedi/44789cfe-2b6e-40fa-b517-d69b11b77626,"Product Analytics Engineer at Stedi, a programmable healthcare clearinghouse. The role uses transaction data to improve clearinghouse operations and product outcomes by analyzing payer performance, building reports and knowledge bases, partnering with cross-functional teams, and managing analytics work.","['Analyze payer performance (eligibility success rates, claim rejection reasons, response times) to assess network health', 'Create clear, actionable reports and visualizations to help Customer and Payer Operations proactively resolve issues', 'Partner with Customer Operations, Sales, and Product on payer research and trend analysis to support customers and product improvements', 'Document common error patterns and requirements to build a knowledge base for faster issue resolution and routing', 'Manage and prioritize an analytics/data backlog (tracked in Linear) related to operational and product needs']","['Strong analytical skills and experience using data to improve products and operations', 'Proficient in writing efficient SQL queries against large, complex schemas', 'Experience with data visualization tools such as Tableau, QuickSight, or Power BI', 'Familiarity with cloud environments (AWS, Azure, or GCP)', 'Self-motivated, resourceful, detail-oriented, able to execute independently and communicate progress', 'Ability to work quickly, prioritize, and respond urgently to internal and external stakeholders', 'Nice to have: healthcare clearinghouse, billing, or payer experience', 'Nice to have: AWS data stack experience (Redshift, QuickSight, Athena, Glue)']",7,,The only API-first healthcare clearinghouse.,https://www.stedi.com/,7.0,,"Strong analytics + product/ops fit (SQL, data ops, cross-functional experience); lacks healthcare/clearinghouse and explicit BI/AWS tooling—candidate prefers to avoid healthcare.",
Unstructured,Business Development Representative,"Seattle, Washington","Sep 4, 2025",https://jobs.lever.co/unstructuredtechnologies/f9434b15-200c-43b3-bb84-d02a08d4639b,"Business Development Representative role at Unstructured Technologies focused on generating and qualifying leads, conducting outbound outreach, and supporting the sales pipeline to drive new business opportunities.","['Prospect and generate new leads through outbound calls, email, and social outreach', 'Qualify inbound and outbound leads and identify potential customer needs', 'Schedule meetings and demos for the sales team and hand off qualified opportunities', 'Maintain accurate records in the CRM and track outreach/results', 'Collaborate with marketing and sales to refine messaging and outreach strategies']","['Strong verbal and written communication skills', 'Experience in sales, business development, or related customer-facing roles (cold outreach experience preferred)', 'Familiarity with CRM tools (e.g., Salesforce, HubSpot) and sales outreach platforms', 'Organized, goal-oriented, and able to manage a high volume of outreach', 'Able to work collaboratively in a fast-paced startup environment']",7,,Fully automated ETL tools for LLMs.,https://unstructured.io/,8.0,,"Good match to BD/GTM goals—deal-sourcing, outreach, and stakeholder coordination are transferable; role is more junior and execution-focused than his strategy/technical ambitions.",
Dust,Business Development Representative (US),San Francisco,"Aug 28, 2025",https://jobs.ashbyhq.com/dust/c2ed1941-0049-450a-b886-93280f087f0c,"Business Development Representative at Dust, a Sequoia-backed AI company building an AI operating system. The role focuses on generating and qualifying new sales opportunities, fueling the sales pipeline, and supporting market expansion in Europe within a fast-paced, GenAI-native startup culture.","['Identify and generate qualified leads through targeted outreach and discovery calls with senior enterprise leaders', 'Conduct qualification calls and nurture leads until they become sales-qualified opportunities (SQLs)', 'Collaborate with Account Executives and Solution Engineers to transfer in-depth information and support conversions', 'Drive market expansion across European territories and build strategic regional relationships', 'Continuously improve sales motion by defining target personas, developing prospecting plans, and coordinating with marketing']","['1–3 years of previous sales experience', 'Excellent English communication skills', 'Resilience to handle rejection and maintain a positive attitude', 'Curiosity, eagerness to learn, adaptability, and problem-solving for novel challenges', 'Familiarity with CRM software (ideally HubSpot) and sales automation tools preferred', 'Hard-working and flexible, able to take ownership and adapt as company needs evolve', 'Passion for Dust and motivation to perform']",7,1.0,Build your team of AI agents.,https://dust.tt/,7.0,,Strong GTM/BD alignment and AI/technical background with stakeholder-facing VC experience; limited explicit quota-driven sales/CRM experience and direct outbound sales metrics.,
Parallel,Product Partnerships,San Francisco or Palo Alto,"Aug 6, 2025",https://jobs.ashbyhq.com/parallel/b7c29018-971f-4f7d-8817-66bb7bc24b8a,"Product Partnerships role at Parallel Web Systems, a Bay Area startup building APIs that let AIs use web data. The role focuses on creating and scaling strategic, mutually beneficial distribution and alliance partnerships with ecosystem players building next-generation AI agents. The company is in-person (San Francisco/Palo Alto) and led by founder Parag Agrawal.","[""Define and execute strategy for scalable distribution channels for Parallel's APIs"", 'Build deep, win-win product partnerships and alliances with key ecosystem players', 'Engage and collaborate with teams building AI agents that need web data integrations', 'Drive go-to-market coordination and partnership activation to deliver customer impact', 'Iterate quickly and adapt partnership approaches to move ideas into production']","['Proven experience in Partnerships, Biz Ops, BD, or GTM roles for technical products', 'Deep understanding of the AI/web market and ecosystem', 'Curious, first-principles thinker who is relentless and competitive', 'Ability to craft creative, mutually beneficial deals and strategic alliances', 'Willingness to work fully in-person in San Francisco or Palo Alto, CA']",7,,"A parallel web, for AIs.",https://parallel.ai/,8.0,,Good AI/technical foundation and explicit GTM/BD goals; limited direct product partnerships/enterprise BD track record.,
