Company,Description,URL,title,location,date_posted,link,fit,Unnamed: 8,fit reason,role description,role responsibilities,role reqs,role years experience,final fit,yrs exp req
Tavily,Connect your agent to the web.,https://tavily.com/,Product Analyst,Israel,"Nov 6, 2025",https://jobs.ashbyhq.com/tavily/75e16e12-26c3-45d3-8eb2-103d648a0b21,8.0,,"Good match on SQL/Python, ML, A/B testing and product/business skills; falls short of the 3+ years analytics requirement and explicit dbt/Snowflake/MongoDB/BI tooling experience.","Tavily is an AI infrastructure startup building an API for agentic web interaction, RAG, and real-time reasoning. The Product (AI) Analyst will turn messy, multi-source data into clean datasets and actionable insights, working at the intersection of product, business, and engineering to shape metrics and support data-driven decisions.","['Own the transformation layer of the data stack using dbt and SQL, ensuring data integrity and consistency', 'Design and maintain core data models and business logic', 'Build and iterate on dashboards, reports, and analytical tools to support product, business, and R&D teams', 'Work directly with product, business, and R&D teams to surface insights that influence strategy and execution', 'Manage and structure messy, multi-source data from Snowflake, MongoDB, and other SQL/NoSQL systems']","['3+ years in an analytics or data role', 'Strong SQL skills and experience with dbt or equivalent transformation frameworks', 'Proficiency in Python for data analysis and automation (e.g., pandas, plotly)', 'Experience with BI tools and building user-friendly dashboards', 'Strong business understanding and ability to ask why, not just write queries', 'Experience with Snowflake and MongoDB', 'Understanding of AI or ML-driven products and their data needs', 'Nice-to-have: startup experience, familiarity with Airflow or other orchestration tools, background in experimentation or A/B testing']",,6,3.0
Tavily,Connect your agent to the web.,https://tavily.com/,BI Developer,Israel,"Nov 6, 2025",https://jobs.ashbyhq.com/tavily/384f7aad-c193-4e8c-80db-4512609d10e3,7.0,,"Good analytics, SQL and stakeholder experience, but missing 3+ years BI/DWH engineering background and key tooling (Airflow/dbt/Snowflake); role is more technical than his strategic growth focus.","Tavily is an AI infrastructure startup building tools for Retrieval-Augmented Generation and agentic web interaction. They seek a BI Developer to turn fragmented business data into clear insights by building datasets, optimizing data architecture, and enabling data-driven decisions across the company.","['Design, develop, and manage scalable BI solutions to improve analytics performance', 'Build and optimize data pipelines and data warehouse (DWH) solutions', 'Collaborate with cross-functional teams (business owners, engineers) to deliver data solutions', 'Act as primary point of contact for data stakeholders, providing technical and business support', 'Ensure data integrity, collection, and proper utilization as an active gatekeeper', 'Use tools like Airflow, dbt, and Snowflake to build and maintain efficient pipelines']","['At least 3 years experience as a BI Developer (ETL, DWH)', 'Strong business understanding with technical data modeling skills', 'Proven experience designing and presenting dashboards', 'Expertise writing and optimizing complex SQL queries for performance', 'Experience with data orchestration and monitoring tools', 'Proactive, results-oriented mindset', 'Nice to have: experience with Airflow, Snowflake, and BI visualization tools (Tableau, Looker)']",,5,3.0
Tavily,Connect your agent to the web.,https://tavily.com/,"Forward Deployed Engineer, Partnerships",New York City,"Nov 3, 2025",https://jobs.ashbyhq.com/tavily/ea19ba06-293e-4129-a7db-b4f7ae57a720,8.0,,"Strong GTM/partnership interest and ML coursework, but lacks 3+ years customer-facing software engineering and deep LLM/RAG/agent experience.","Tavily is an external intelligence layer for AI agents and LLM-powered applications. They are hiring a Strategic Forward Deployed Engineer to be the technical focal point for enterprise and platform partnerships—building integrations, operationalizing partner programs, communicating joint value, and accelerating indirect revenue and GTM outcomes.","['Act as a strategic technical partner to the GTM team, driving partner-focused technical programs and identifying opportunities to deepen partner capabilities.', 'Embed with partner technical teams to support API troubleshooting, evangelize Tavily, develop joint solutions, and codify reference architectures and best practices.', 'Represent Tavily at partner events, workshops, and conferences; run enablement sessions and maintain high-trust relationships with alliance stakeholders.', 'Collaborate cross-functionally with Product, Engineering, Marketing, and Sales to align partner strategy, GTM positioning, and the integration roadmap.', 'Serve as the ecosystem expert by understanding partner product strategies and identifying where Tavily fits best.']","['3+ years of software engineering experience, ideally in customer-facing, consulting, or partner-focused roles (e.g., Forward Deployed Engineer, Solutions Architect, Sales Engineer).', 'Strong engineering background and familiarity with the modern agent stack; obsession with the AI ecosystem.', 'Deep understanding of Retrieval-Augmented Generation (RAG), LLMs, context engineering, and agent architectures.', 'Strong interpersonal and communication skills; comfortable working directly with technical stakeholders at enterprises and partners.', 'Able to work autonomously and learn quickly in a fast-paced startup environment.', 'Demonstrated success working with major cloud or enterprise ecosystems (AWS, Azure, GCP, IBM, MongoDB, Snowflake, Databricks).', 'Familiarity with commercial and technical partnership structures (marketplace, rev-share, OEM).', 'Based in New York City or San Francisco, or willing to relocate.']",,4,3.0
Tavily,Connect your agent to the web.,https://tavily.com/,Web Intelligence Engineer,Israel,"Nov 3, 2025",https://jobs.ashbyhq.com/tavily/b9ca8fa3-f8ca-4c35-b5c4-8cc61df498fb,5.0,,"Poor fit — role demands 3–5 yrs production backend/browser-automation + Israel work authorization; candidate is US-based with data-science/VC and business/strategy-oriented goals, not backend/systems specialization.","Tavily is a fast-moving startup building a search engine for AI agents. The Web Intelligence Engineer will design and build large-scale web acquisition and automation systems that enable real-time, structured web data for LLMs and agents. The role is production-focused, research-informed, and based in Tel Aviv, Israel.","['Design and build distributed data acquisition pipelines to capture and structure the live web', 'Research and analyze browser internals, fingerprinting, anti-automation and JavaScript-based protections', 'Prototype and deploy intelligent automation frameworks using Playwright, Puppeteer and CDP', 'Investigate network flows and emerging web standards affecting automation', 'Collaborate with AI and infrastructure teams to integrate real-time web data into retrieval and agent pipelines', 'Translate research insights into production-grade, resilient, high-performance components', 'Continuously improve resilience, speed, and authenticity of web interactions at scale']","['3–5 years experience as a backend or systems engineer, preferably with large-scale or web-facing infrastructure', 'Strong programming skills in Python or Node.js (Go or C++ a plus)', 'Proven production experience building and maintaining browser automation systems (Playwright, Puppeteer, or CDP)', 'Solid understanding of browser internals, network protocols, and web interaction mechanisms', 'Experience designing high-performance, resilient systems handling scale, concurrency, and complex orchestration', 'Strong debugging and analytical skills to investigate edge cases and performance bottlenecks', 'Ability to work quickly in a cross-functional team and communicate effectively; excellent documentation skills', 'Must be based in Israel with existing legal authorization to work there (no visa sponsorship)', 'Nice-to-have: familiarity with cloud infrastructure, containerization (Docker), Kubernetes, CI/CD and experience integrating AI/retrieval systems']",,2,3.0
Tavily,Connect your agent to the web.,https://tavily.com/,GTM & RevOps Analyst,East Coast,"Oct 20, 2025",https://jobs.ashbyhq.com/tavily/840fb64d-2107-4ac0-b06f-00e845976437,8.0,,"GTM/RevOps title closely matches growth/GTM goals and candidate’s analytics+ops experience, but the posting has no details so fit is uncertain.","No job details found. The provided posting contains only website/app loader HTML, CSS and JavaScript placeholders and does not include any company, role, responsibilities, or benefits information.",[],[],,7,
Tavily,Connect your agent to the web.,https://tavily.com/,Support Engineer,All Locations - On Site,"Sep 18, 2025",https://jobs.ashbyhq.com/tavily/62788975-eaa8-4795-bcd1-50277e5321d8,5.0,,"Has Python/ML and troubleshooting background but lacks 2+ years B2B technical support, explicit LLM/toolchain, cloud/vector DB experience, and the role is more ops/support than the candidate’s strategy/growth focus.","Tavily is a company building a search engine for AI agents and APIs to power RAG and real-time reasoning. They are hiring a Technical Support Engineer to provide world-class technical support for technical users (AI engineers, infra architects), troubleshoot production LLM applications and integrations, and help improve support processes and documentation.","['Monitor incoming support tickets and provide timely, technical responses across customer setups, Tavily products, and deployments', 'Escalate issues to Engineering or Customer Success based on scope and impact', 'Provide follow-the-sun support coverage and field customer requests globally', 'Collaborate with engineering, operations, documentation, and product teams to triage and resolve bugs', 'Use and improve internal tooling, diagnostics, and runbooks for issue triage', 'Participate in post-mortems for critical incidents and document learnings', 'Track support KPIs (e.g., CSAT, bug recurrence) and contribute to continuous improvement', 'Improve documentation and knowledge articles to enhance self-service resources']","['2+ years in technical support in B2B environments (SaaS, developer tools, cloud services)', 'Experience supporting technical customers and escalating complex issues appropriately', 'Strong troubleshooting skills across APIs, web applications, and cloud environments', 'Backend experience with APIs, Python, and LLM toolchains (e.g., LangChain, LlamaIndex) and vector DBs', 'Familiarity with no-code integrations (e.g., n8n)', 'General understanding of RAG, prompt engineering, and agent architectures', 'Experience with logs, monitoring tools, and third-party integrations', 'Strong written communication skills with attention to detail', 'Flexibility to support off-hours/global schedules and a high-ownership mindset']",,4,2.0
Impulse Labs,Next-generation kitchen stove.,https://www.impulselabs.com/,"Software Engineer, Platform",San Francisco,"Oct 8, 2025",https://jobs.ashbyhq.com/impulse/f433edae-7819-4fa5-9cab-0ad749bbc6b2,5.0,,Seniority,"Impulse Labs is an early-stage, VC-backed San Francisco startup building high-performance, sustainable whole-home electrification products. They are hiring a senior Software Engineer, Platform to develop on-device embedded software, UI frameworks, and Rust-based components for appliance interfaces and system integration.","['Design and develop on-device software for embedded SoCs (e.g., i.MX8) running Yocto Linux', 'Build and maintain UI frameworks and display logic for next-generation appliance interfaces', 'Architect reliable, maintainable software components in Rust to support interactive and control workflows', 'Collaborate cross-functionally with engineering, product, and design teams to iterate on requirements and prototypes', 'Mentor team members, disseminate knowledge, and improve overall codebase quality', 'Help architect on-device application codebase for robustness, performance, and maintainability', 'Represent systems software constraints and needs across the organization']","['4+ years of programming experience', '2+ years experience with low-level languages such as Rust or C++', 'Demonstrated passion for learning and growing technical skills', 'Willingness and ability to work across technology domains to produce thoughtful solutions', 'Comfort working in a dynamic early-stage startup environment', 'Location: San Francisco (primarily in-office, with potential 1-2 days remote)', 'Nice-to-have: familiarity with cloud/backend infrastructure (AWS, GCP), data frameworks (e.g., Apache Arrow), or scripting languages (e.g., TypeScript)', 'Nice-to-have: experience with consumer electronics or hardware-integrated software development']",,0,4.0
Impulse Labs,Next-generation kitchen stove.,https://www.impulselabs.com/,General Application – Engineering (Full-Time + Internships),San Francisco,"May 2, 2025",https://jobs.ashbyhq.com/impulse/0b03563e-e0b8-4774-b3da-5a072170614f,7.0,,Strong technical + business/ops background and SF-based; general-application ambiguity lowers certainty.,"General engineering application for Impulse Labs (San Francisco, CA) accepting submissions for full-time roles and internships. The company states it may not currently have an open role that fits every candidate but will consider exceptional applicants. Posted salary range: $75,000–$215,000 (USD).","['Submit a general application to be considered for engineering full-time roles or internships at Impulse Labs.', 'Be available to fill various engineering roles as openings arise; specific duties will depend on the matched position.', 'Allow Impulse Labs to evaluate exceptional candidates even if a precise role is not currently advertised.']","['No specific requirements or qualifications are listed in the posting.', 'Qualifications and experience expectations will depend on the specific role for which the candidate is later considered.', 'Positions are based in San Francisco, CA (location provided in the posting).']",,8,
Matic,The world's most advanced floor cleaner.,https://maticrobots.com/,Robotics Production Associate - Internship/Co-op (6 Weeks Program),"Mountain View, CA","Oct 25, 2025",https://jobs.ashbyhq.com/MaticRobots/f87d116c-cecc-45a8-9903-f258cfc57b0b,6.0,,"Good match on manufacturing/IE coursework and ops experience, but limited explicit hands‑on electro‑mechanical assembly and role is more shop‑focused than the candidate's business/GTM career goals.","Matic is a home robotics startup building a floor-cleaning robot. They’re hiring a 7-week Robotics Production Intern (Dec 1–Jan 16) in Mountain View to help build out early production facilities, assemble and repair electro-mechanical subassemblies, support quality control, and work cross-functionally in a fast-paced manufacturing environment. Monthly stipend listed at $4,500 and strong possibility of extension to a 6-month contract based on performance.","['Assemble components and systems on the production line using hand tools and equipment', 'Follow SOPs and work instructions to ensure quality and accuracy', 'Operate manufacturing equipment and follow safety procedures', 'Ensure timely completion of production tasks and maintain a clean work area', 'Analyze failed inventory, perform root-cause analysis and rework', 'Identify and implement improvements to throughput, scrap, safety, or quality of life', 'Design fixtures, equipment, and processes as needed', 'Collaborate with hardware, software, and product teams to resolve production roadblocks']","['Interest in working in a fast-paced manufacturing environment', 'Hands-on ability to build electro-mechanical assemblies', 'Quick learner, adaptable to changing priorities', 'Effective interpersonal and communication skills; team-oriented', 'Strong work ethic and attention to detail', 'Willingness to work flexible shifts (morning or evening) and maintain safety', 'Comfortable learning new technologies; engineering/design experience advantageous', 'Formal prior production experience not required']",,6,
Matic,The world's most advanced floor cleaner.,https://maticrobots.com/,Social Media Marketing Intern,"Mountain View, CA","Oct 7, 2025",https://jobs.ashbyhq.com/MaticRobots/7c139351-178e-4242-b494-34cb35c4b143,7.0,,Has brand/ops and content-adjacent experience but lacks demonstrated video-editing skills or social portfolio.,"Social Media Marketing Intern at Matic, a privacy-first home robotics startup building a Wall‑E‑like floor‑cleaning robot. The role involves creating short-form video and photo content, writing captions and campaign copy, tracking social trends, and helping define the brand's visual and verbal style on platforms like Instagram, TikTok, and YouTube Shorts.","['Concept, shoot, and edit short-form videos, product clips, and behind-the-scenes content for social channels', 'Write engaging copy for posts, captions, scripts, and campaigns that reflect Matic’s brand tone', 'Track and adapt social media trends and formats in brand-appropriate ways', 'Collaborate with design, marketing, and product teams to rapidly produce content', 'Contribute to developing an evolving visual and verbal style guide for Matic’s social presence']","['Sharp visual eye and strong writing/storytelling ability for captions, headlines, and scripts', 'Proven video editing skills (e.g., Premiere, CapCut, DaVinci Resolve or similar)', 'Good sense of composition, pacing, and rhythm', 'Understanding of social media trends, formats, and algorithms (Instagram, TikTok, YouTube Shorts)', 'Portfolio or social links showing examples of both visual and written work', 'Ability to work in a small, fast-moving, cross-functional team', 'Bonus: experience with motion graphics, photography, or 3D tools (e.g., Blender)']",,4,
Matic,The world's most advanced floor cleaner.,https://maticrobots.com/,Social Media Content Creator,"Mountain View, CA","Oct 7, 2025",https://jobs.ashbyhq.com/MaticRobots/e4add78e-a982-42ff-b9bb-e2396b961c93,5.0,,Low fit — role demands hands‑on video/photography portfolio and editing skills; candidate is analytics/strategy-focused with limited demonstrated social content experience.,"Matic is a privacy-first home robotics startup building a self-driving floor-cleaning robot. They seek a Social Media Content Creator with a sharp visual eye and strong storytelling/writing skills to concept, shoot, edit, and write short-form video and photographic content that communicates the brand on platforms like Instagram, TikTok, and YouTube Shorts.","['Concept, shoot, and edit short-form videos, product clips, and behind-the-scenes stories for social media', 'Write engaging copy for posts, captions, scripts, and campaigns that reflect Matic’s brand tone', 'Track social media trends and adapt them in brand-appropriate ways', 'Collaborate with design, marketing, and product teams to produce content quickly', 'Help develop and evolve a visual and verbal style guide for Matic’s social presence']","['Strong writing ability for captions, headlines, and scripts', 'Proven video editing skills (e.g., Premiere, CapCut, DaVinci Resolve)', 'Strong sense of composition, pacing, and rhythm', 'Understanding of social media trends, formats, and algorithms (Instagram, TikTok, YouTube Shorts)', 'Portfolio or social links showing examples of both visual and written work', 'Bonus: experience in motion graphics, photography, or 3D (Blender)']",,3,
Symbolica,Building structured cognition in machines.,https://symbolica.ai/,Sourcing Recruiter (AI & ML Talent),"London, UK","Nov 5, 2025",https://job-boards.greenhouse.io/symbolica/jobs/4753739008,6.0,,"Relevant AI/ML knowledge and sourcing experience from VC, but no direct recruiting track record and the recruiter role doesn't align well with your stated strategy/ops/growth career goals.","Symbolica AI is an R&D-focused AI company hiring across multiple roles (ML research, ML infrastructure, compiler engineering, frontend/UI/UX, developer tools, SDKs and applied AI systems) with openings in London and San Francisco.","['Design, build and maintain ML systems and infrastructure (training, serving, tooling, and deployment)', 'Research and develop machine learning models and algorithms for applied research projects', 'Implement and optimize compilers, runtimes and performance-critical components for ML workloads', 'Develop frontend interfaces, SDKs and developer tools to support AI products and workflows', 'Lead and mentor engineering teams for technical delivery and cross-functional collaboration', 'Collaborate with product, research and infrastructure teams to deliver production-ready solutions']","['Strong software engineering skills and CS fundamentals (data structures, algorithms, system design)', 'Experience with relevant languages and technologies (e.g., Python, Rust, Node.js/TypeScript, frontend frameworks)', 'Background in ML/AI engineering or research, or experience building ML infrastructure and tooling', 'Experience with cloud, DevOps and ML infrastructure (containers, orchestration, CI/CD, monitoring)', 'Ability to optimize performance-critical code, compilers or runtimes for ML workloads (for applicable roles)', 'Excellent communication and collaboration skills; experience mentoring or leading teams for senior/lead roles', 'Relevant degree or equivalent practical experience in computer science, engineering or related fields']",,5,
Symbolica,Building structured cognition in machines.,https://symbolica.ai/,Software Engineer – SDK & Applied AI Systems,"London, UK","Oct 6, 2025",https://job-boards.greenhouse.io/symbolica/jobs/4943250008,5.0,,"Has Python/ML coursework and an ML internship but lacks clear production SDK/backend and inference integration experience, role is highly engineering-focused and requires London onsite—misaligned with candidate’s business/ops-oriented goals.","Symbolica AI is a London-based research lab applying category theory to build symbolic reasoning AI. They seek a Python Software Engineer to own and ship core systems for their applied AI products, working across SDKs, developer libraries, server platforms, inference integrations and applied-AI features to turn research prototypes into production-quality tools.","['Build, maintain, and improve Python-based SDKs, libraries, APIs, server-side platform, and integration layers', 'Implement applied-AI engineering work such as per-model optimisations, context tuning, and agent features', 'Design developer-facing tools and clean APIs used by customers', 'Integrate with external inference providers to ensure reliability and scalability', 'Own projects end-to-end: clarify requirements, design, implement, test, and ship production-ready code', 'Collaborate with ML researchers and engineers to productionize prototypes', 'Contribute to architecture discussions, code reviews, and software best practices', 'Continuously improve developer and user experience']","['Strong Python software engineering skills', 'Experience building SDKs, developer libraries, APIs, and backend/server platforms', 'Familiarity with AI/ML systems, inference provider integrations, and applied-AI techniques (model optimisation, context tuning, agents)', 'Proven ability to ship production-quality, tested code and own projects end-to-end', 'Collaborative experience working with researchers and cross-functional teams', 'Ability to work onsite in the London office']",,3,
Ekho,End-to-end vehicle commerce platform.,https://www.ekho.com/,Founding GTM,New York City HQ,"Oct 18, 2025",https://jobs.ashbyhq.com/Ekho/4b017db6-460b-4db8-8d58-395475249111,9.0,,"Good GTM/analytical fit and founder-like experience, but lacks 2–4 yrs full‑cycle outbound sales, dealership/automotive experience, CRM/outreach track record and deal-closing history.","Ekho is a venture-backed company building an end-to-end vehicle commerce platform used by OEMs and dealer networks. The Founding GTM role will operationalize outbound go-to-market efforts, build pipeline, run high-velocity outbound and inbound sales, and scale dealer and OEM sales while working closely with the CEO and GTM engineer.","['Own the full GTM funnel from cold outreach to closed deals', 'Build and manage outbound pipeline using email, phone, LinkedIn, events and automation tools', 'Research, prioritize and target prospects by vertical, region, and digital maturity', 'Qualify inbound leads and conduct discovery to identify fit and urgency', 'Lead tailored demos and pitches to dealerships and OEMs', 'Collaborate with leadership to refine outbound processes, messaging, and CRM hygiene', 'Analyze pipeline and outreach metrics to improve conversion and efficiency', 'Represent Ekho at conferences and dealer events to drive top-of-funnel engagement', 'Continuously experiment with messaging, channels, and automation to increase learning velocity']","['2–4 years full-cycle sales experience (SDR → AE or hybrid outbound) at a high-growth startup, ideally SaaS or usage-based', 'Experience selling into real-economy industries (automotive, logistics, manufacturing, retail) preferred', 'Proven outbound excellence; comfortable cold calling and creative outreach', 'Strong verbal and written communication; able to frame complex ideas simply', 'Analytical and structured with ability to prioritize accounts using imperfect data', 'Charismatic, persuasive presence; comfortable leading meetings and in-person relationship building', 'Strong negotiation skills and ability to close deals independently', 'Driven, adaptable, founder-like ownership and comfort working in ambiguity', 'Comfortable and confident in-person at dealerships and industry events', 'Proficiency with Sheets/Excel and HubSpot; familiarity with Clay, Apollo, Zapier a plus', 'BA/BS or equivalent experience', 'Preferred: familiarity with dealer operations, experience selling into dealership/franchise or field SMB software, and cultural/regional fluency in dealership markets']",,4,2.0
Basic Capital,The new way to 401(k).,https://basiccapital.com/,Various Positions,"New York, United States",,https://basiccapital.com/careers,9.0,,No role details; 'Various Positions' allows general-application — aligns reasonably with his strategy/ops/tech + finance/real-estate experience.,"Careers page for Basic Capital (branded as ""The Mortgage for Retirement""). The provided posting is largely site/template code and fonts and does not include a specific job title or role description.",['No specific responsibilities are listed in the provided text; the content appears to be a placeholder or site template for a careers page.'],['No specific requirements or qualifications are listed in the provided text.'],,7,
Rainmaker,Making Earth habitable.,https://www.leadsontrees.com/news/making-earth-habitable-rainmaker-technology-corp-secures-25m-series-a-for-sustainable-water-innovation,General Application,"El Segundo, CA","May 28, 2024",https://jobs.lever.co/make-rain/07bd92c2-f6bc-4840-b6c8-873889a5d965,9.0,,"General application aligns with candidate’s strategy/ops/tech goals, but absence of role details reduces confidence.","General application page for Rainmaker Technology Corporation. The provided text is mostly website template/CSS and page styling and does not contain a specific job title, description, or role details.",['No specific responsibilities or duties are described in the provided text.'],"['No specific requirements, qualifications, or skills are described in the provided text.']",,8,
Speakeasy,Generate MCP servers & SDKs from OpenAPI.,https://www.speakeasy.com/,Software Engineer,"San Francisco, United States",2023-09-15,https://jobs.ashbyhq.com/Speakeasy,6.0,,Has technical foundation (CS/data science) but role appears to be pure software engineering with no business/GTM scope and limited SWE track record—misaligned with the candidate’s strategy/ops/growth focus.,Job posting page for Speakeasy (Speakeasy Jobs). The provided text is the website/app shell and JavaScript/CSS; full role details are not present because the page requires JavaScript to load content.,[],[],,4,
Mosey,The easy way to do state and local compliance.,https://mosey.com/,Inbound Account Executive,Remote (Continental US),"Oct 27, 2025",https://jobs.ashbyhq.com/mosey/4dc640ff-9435-4e3b-8a9b-976433d6182c,8.0,,"Good GTM/customer-facing overlap with goals, but lacks the required 3+ years B2B SaaS closing/sales experience, pipeline/quota history, and HubSpot/sales-tool familiarity.","Inbound Account Executive at Mosey, a company that simplifies employment compliance for companies hiring across multiple locations. The role is a remote-first, full-cycle sales position focused on converting inbound leads, managing pipeline, and contributing to go-to-market and product feedback initiatives. Compensation includes a $100,000 OTE (60/40) plus equity and uncapped commission with upside to ~$140,000.","['Qualify inbound leads, host product demos, drive multi-threaded buying decisions, and negotiate purchase agreements', 'Proactively manage and re-engage existing pipeline opportunities to improve conversion', 'Iterate on sales enablement, collateral, messaging, and processes based on prospect feedback', 'Track and report key sales performance metrics and market insights to leadership', 'Contribute to GTM efforts including marketing initiatives and referral partnerships', 'Collect and relay market and customer feedback to the product team']","['3+ years selling B2B software products with closing experience', 'Ability to work in ambiguity and solve operational challenges in the sales lifecycle', 'Familiarity with common GTM tools, including HubSpot', 'Nice-to-have: experience selling to HR, legal, finance, or accounting teams', 'Nice-to-have: prior experience at high-growth startups', 'Nice-to-have: familiarity with compliance software', 'Nice-to-have: experience working with partner reps on referral-based selling']",,3,3.0
Sauron Systems,Your home’s perception system.,https://www.prnewswire.com/news-releases/sauron-launches-worlds-most-advanced-home-security-system-302325673.html,Various Positions,Remote,,https://www.sauron.systems/careers,8.0,,No role details provided; labeled 'Various Positions' so could match business/ops/tech goals but fit is uncertain.,"The provided text is not a traditional job posting but appears to be website source code (JavaScript and CSS) for a 'Careers' page. It contains scripts, style rules, and layout variables rather than any specific role description, company information, responsibilities, or qualifications.",[],[],,6,
Arya Health,Rewriting the future of post acute operations.,https://investorshangout.com/arya-health-revolutionizes-postacute-care-with-182m-funding-438623-/,AI-powered Digital Agent,"New York, United States","October 29, 2025",https://wellfound.com/company/arya-health-ai,5.0,,Title aligns with candidate's tech+business ambitions (deployment/growth of AI products) but posting has no details—fit uncertain.,Job posting content unavailable or blocked; the provided text contains JavaScript/captcha code and no readable information about the role or company.,[],[],,6,
Loti,Deepfake protection.,https://www.lotiai.com/,Loti AI Job Listings,Remote,,https://ats.rippling.com/loti-ai-inc/jobs,8.0,,No role details or requirements provided — cannot assess fit.,"The provided text is a fragment of a careers webpage (mentions Loti AI and Rippling Recruiting) containing JavaScript, CSS, and font/asset references rather than any actual job description or role details.",[],[],,1,
Mem0,The memory layer for AI.,https://mem0.ai/,Data Analyst - First Data Hire,San Francisco Bay Area,"Nov 3, 2025",https://jobs.ashbyhq.com/mem0/6a5cdefc-a4f2-4412-94b3-7d4660d66352,8.0,,"Good Python/SQL, A/B-testing and ML background fit core analytics needs, but limited explicit product-analytics/BI, ETL/warehouse, Postgres/cloud and LLM-infra experience; possible timing/location mismatch.","Mem0, a well-funded startup building a memory layer for AI agents, is hiring its first Data Analyst in Bangalore to build data infrastructure and analytics from scratch, translate data into product and business insights, and enable data-driven decision-making across the company.","['Design, build and maintain reliable data pipelines consolidating Postgres, product analytics (PostHog), LLM outputs and external APIs into a unified data warehouse', 'Create scalable data models and schemas, implement ETL workflows and ensure data quality monitoring and validation', 'Define, track and report key business and product metrics (retention, usage, monetization, feature adoption, etc.)', 'Build automated dashboards and regular reports for business reviews and investor-ready analytics', 'Perform deep-dive analyses, surface trends, support A/B testing and provide actionable recommendations to Product, Engineering and Leadership', 'Develop internal self-service tools, standardized reporting templates, documentation and data definitions for stakeholders', 'Answer ad-hoc data requests quickly and support cross-functional teams in interpreting and using data', 'Partner with Product and Engineering to establish measurement frameworks and ensure robust data collection', 'Collaborate with Research on evaluation frameworks and hypothesis testing for memory/retrieval features']","['Expert-level SQL skills, strong experience with PostgreSQL or similar relational databases', 'Proficiency in Python for analysis, automation and building pipelines', 'Hands-on experience with product analytics platforms (PostHog, Mixpanel, Amplitude or similar)', 'Experience with BI and visualization tools (Tableau, Looker, Metabase or similar)', 'Knowledge of API integrations, ETL concepts, cloud platforms and modern data warehousing', 'Experience working with diverse/unstructured data sources and building analytics infrastructure', 'Ability to define metrics, measurement frameworks and translate insights into business recommendations', 'Strong communication skills and ability to explain findings to technical and non-technical stakeholders', 'Self-directed, comfortable with ambiguity, high ownership mentality and ability to iterate quickly in a growth-stage startup', 'Preferred: experience with LLM data analysis/AI-ML workflows, product thinking, data governance/privacy practices, and experimentation/statistical testing']",,6,1.0
Mem0,The memory layer for AI.,https://mem0.ai/,Forward Deployed Engineer,India,"Oct 27, 2025",https://jobs.ashbyhq.com/mem0/f581e435-e6d5-4f94-9b57-8d039d059b5a,7.0,,"Strong analytical/Python/communication skills but lacks 3+ years of customer-facing software engineering, TS/React, backend, LLM/vector DB, and production integration experience.","Forward Deployed Engineer to own customer integrations end-to-end at Mem0, embedding with customers to design, build, troubleshoot and productionize integrations for Mem0’s AI memory platform. Mem0 is a well‑funded San Francisco startup building a long‑term memory layer for AI agents with an office-first, high‑ownership culture.","['Plan and deliver onboarding and integrations: set up environments/keys/tenants and guide customers through Mem0 SDKs (Python/JS) and REST APIs.', ""Run technical discovery, define data models and privacy constraints, and design integration architectures that fit customers' apps."", 'Rapidly prototype reference implementations/POCs and productionize them with tests, observability, and rollout plans.', 'Debug in the field (auth/SSO, schema mapping, rate limits, latency) and optimize caches, queries, and retrieval/memory settings.', 'Operate with customers: set SLIs/SLOs, add dashboards/alerts, write runbooks, and lead incident triage to root cause.', 'Bridge deployments to Product & Engineering: capture feedback, file tickets/specs, and influence the roadmap.', 'Enable customers: write docs, sample code and playbooks; run workshops and enablement so teams can self-serve.']","['3+ years as a software engineer in customer-facing integration/solutions/forward-deployed roles', 'Strong coding in Python and TypeScript/JavaScript; comfortable working with Next.js/React frontends and Django/FastAPI/Node backends', 'Proven experience integrating SaaS platforms: REST/GraphQL APIs, webhooks, auth (OIDC/SAML/JWT) and event flows', 'Practical knowledge of LLM/RAG concepts and vector databases (e.g., FAISS, Milvus, Pinecone) and ability to tune retrieval for quality and latency', 'Solid debugging across network, auth and data layers; SQL proficiency and basic performance profiling', 'Excellent communication with technical and non-technical stakeholders; strong documentation and decision-making skills', 'High ownership: manage timelines, unblock dependencies, and drive successful go-lives', 'Nice to have: prior forward‑deployed/solutions/sales engineering experience', 'Nice to have: privacy & compliance awareness (PII handling, data residency, audit trails)', 'Nice to have: cloud & ops familiarity (AWS, Docker, CI/CD, k8s configs, production dashboards)', 'Nice to have: experience creating SDKs/CLIs or sample apps/templates for external developers', 'Nice to have: observability stack experience (OpenTelemetry, Datadog, Grafana/Prometheus)', 'Nice to have: change management and training experience (enablement sessions, customer guides)']",,2,3.0
