Company,Description,URL,title,location,date_posted,link,fit,,fit reason,role description,role responsibilities,role reqs,role years experience,final fit,yrs exp req
LangChain,Easily integrate LLMs into your apps.,https://docs.langchain.com/oss/python/langchain/overview,"Account Executive, Europe",Amsterdam,"Oct 15, 2025",https://jobs.ashbyhq.com/langchain/b74b7b5a-4679-48cc-ae96-1b282dc5fe18,7,,Seniority,"Account Executive (Europe) at LangChain hiring in London and Amsterdam to own the full sales cycle for enterprise technical customers, drive adoption of LangChain products and GenAI solutions, and collaborate with engineering, product, and customer success to shape go-to-market strategy.","['Own and manage the full sales cycle from lead to close', 'Act as a trusted advisor to prospects and customers, understanding needs and demonstrating product value', 'Drive proof-of-concept efforts with sales engineers and product experts', 'Stay current on product updates and industry trends to educate customers on GenAI adoption', 'Build long-term customer relationships and support post-sale success with deployment/support teams', 'Negotiate pricing and deal terms and coordinate contract redlines with legal', 'Bring customer insights back to product and engineering to inform roadmap and UX', 'Help define and iterate on the sales playbook and go-to-market strategies']","['5+ years selling complex software to enterprise customers', 'Relationship builder with empathy and curiosity', 'Excellent communication and storytelling skills', 'Technical acumen to establish credibility with technical decision makers', 'Comfort thriving in fast-paced startup environments and evolving playbooks', 'Driven, solutions-oriented, and able to navigate roadblocks to close deals', 'Passion for generative AI and interest in helping customers adopt it']",,0,5
LangChain,Easily integrate LLMs into your apps.,https://docs.langchain.com/oss/python/langchain/overview,"Commercial Account Executive, Europe",Amsterdam,"Oct 15, 2025",https://jobs.ashbyhq.com/langchain/bcf1a071-8d73-4684-ae82-2e5fd0238377,6,,"Strong technical literacy, investor-facing BD experience and clear GTM interest; limited direct SaaS/quota sales and no EU/AMER relocation info.","LangChain, an agent engineering platform and open-source framework provider for building intelligent agents, is hiring a Commercial Account Executive in Amsterdam to support go-to-market efforts by driving adoption of its products and guiding technical customers through discovery, evaluation, and purchase.","['Support full sales cycle from outreach through close, with strong follow-up and execution', 'Build and maintain relationships with prospects and customers, understanding their needs', 'Coordinate proofs-of-concept with sales engineers and product experts to demonstrate value', 'Stay informed on product updates and industry trends to inform customer conversations', 'Coordinate handoffs to deployment and support teams and help maintain ongoing customer relationships', 'Assist with pricing discussions and contract coordination alongside senior team members', 'Collect and share customer feedback with product and engineering teams', 'Contribute ideas to refine sales processes and approaches']","['1–3 years in sales, business development, or customer-facing roles (SaaS or tech preferred)', 'Strong relationship-building skills and ability to engage technical buyers', 'Good communication skills and willingness to learn technical concepts', 'Comfortable working in a fast-paced startup environment and learning on the job', 'Self-motivated, resourceful, and proactive problem-solver', 'Interest in generative AI and helping customers adopt new technology']",,7,1
LangChain,Easily integrate LLMs into your apps.,https://docs.langchain.com/oss/python/langchain/overview,Commercial Account Executive,"San Francisco, CA","Oct 15, 2025",https://jobs.ashbyhq.com/langchain/0b99bf12-92c2-44b3-95c4-cb4ef4bd2684,7,,Strong technical + GTM/BD background and AI interest; limited direct SaaS quota-bearing sales and POC ownership.,"Commercial Account Executive at LangChain (hiring in San Francisco and New York) to drive adoption of LangChain products by supporting the sales process for technical customers, coordinating POCs, and working with sales, engineering, and customer success teams. Compensation range listed at $175,000–$220,000 plus equity and benefits.","['Support the full sales cycle from outreach through close, ensuring strong follow-up', 'Build and maintain relationships with prospects and customers, understanding needs', 'Coordinate proof-of-concept efforts with sales engineers and product experts', 'Stay informed on product updates and industry trends to support customer conversations', 'Coordinate handoffs with deployment and support teams to maintain customer relationships', 'Assist with pricing discussions and contract coordination alongside senior team members', 'Relay customer feedback to product and engineering teams', 'Contribute ideas to improve sales processes and approaches']","['1–3 years in sales, business development, or customer-facing roles (SaaS/tech preferred)', 'Strong relationship-building skills, able to connect with technical buyers', 'Good communication skills and willingness to learn technical concepts', 'Comfortable in fast-paced startup environments and eager to learn on the job', 'Self-motivated and resourceful problem-solver', 'Interest in generative AI and helping customers adopt new technology']",,7,1
Replicate,Run AI with an API.,https://replicate.com/,Account Executive,San Francisco,"Jul 2, 2025",https://jobs.ashbyhq.com/replicate/a8f52344-8929-4561-a78a-78ec29ebcee0,8,,"Good technical fluency and GTM/BD interest, but lacks demonstrated enterprise sales/closing track record and senior AE experience.","Replicate is an engineer-led startup that provides an API and cloud platform for running and deploying AI models. They’re growing from a large developer base and revenue and are hiring a senior Account Executive to drive and scale enterprise sales, working closely with the CEO from their San Francisco office.","['Identify promising customers and target accounts', 'Drive customers into production and expand enterprise contracts', 'Manage the full sales cycle: prospecting, relationship-building, demos, negotiation, and closing', 'Create sales playbooks, maintain CRM, and report on pipeline and results', 'Collaborate closely with the CEO to choose product focus and scale go-to-market approaches', 'Engage with technical buyers and engineers during evaluations and deployments']","['Proven expertise in the full sales process (prospecting, demos, closing, etc.)', 'Technical fluency sufficient to credibly engage engineers and technical founders', 'Founder energy: self-driven, resourceful, comfortable building processes from scratch', 'Experience as an early startup hire or founder is preferred', 'Willingness to work in-person from the Mission District office in San Francisco']",,5,
Comulate,Transforming insurance with AI.,https://www.comulate.com/post/comulate-series-b-bond-workday-transforming-insurance-with-ai,Product Designer,San Francisco,"Mar 25, 2025",https://jobs.ashbyhq.com/comulate/7686253a-3728-4d95-8417-3b206e669c17,6,,"Solid analytical/tech background and Figma + human-factors coursework, but lacks demonstrated visual/UX design portfolio and founding product-design experience required for this role.","Founding Product Designer role at Comulate, an AI-driven startup modernizing insurance back-office accounting; onsite in San Francisco to design enterprise workflows and create a new design language for complex financial insurance products.","['Design and pioneer a new design language and visual systems for insurance operations', 'Create interaction patterns, flows, prototypes, and high-fidelity designs for complex financial workflows', 'Conduct user research (conversations, ride-alongs, testing) to validate design hypotheses', 'Communicate user needs and provide context to engineering and cross-functional teams', 'Help build and shape a design culture that embraces enterprise complexity as a design challenge']","['Exceptional visual design taste and strong attention to detail', 'Ability to create intuitive, elegant solutions for complex, multi-party workflows', 'Hands-on, independent contributor who can rapidly execute designs', 'Comfort with ambiguity, rigorous problem solving, and strong systems thinking', 'Curiosity, ability to question assumptions, and operate with speed and clarity', 'Willingness to work onsite in San Francisco']",,3,
Comulate,Transforming insurance with AI.,https://www.comulate.com/post/comulate-series-b-bond-workday-transforming-insurance-with-ai,Applied Data Scientist,San Francisco,"Mar 20, 2025",https://jobs.ashbyhq.com/comulate/99d0cf14-3316-4884-b63a-d6e9d541d71d,8,,"No job details; title implies a technical data-science role — candidate has relevant ML/data skills but prefers business/strategy-facing growth roles, so only a moderate fit.","No job posting content found — the provided text contains only web application HTML/JavaScript loader code and no job title, company, responsibilities, or role description.",[],[],,5,
Comulate,Transforming insurance with AI.,https://www.comulate.com/post/comulate-series-b-bond-workday-transforming-insurance-with-ai,Software Engineer,San Francisco,"Feb 1, 2025",https://jobs.ashbyhq.com/comulate/4d5a3632-2812-4ab0-b3ad-ca6cf6083348,6,,"Solid technical foundation but lacks 2+ years SWE experience and explicit TS/React/Node/GraphQL skills, and the role is not well aligned with his business/strategy-focused goals.","Comulate is an AI-driven startup transforming insurance back-office accounting. They are hiring onsite Software Engineers in San Francisco to build end-to-end systems, services, and customer-facing features as early employees at a high-growth, Series B-backed company.","['Design and implement critical systems, services, and customer-facing features end-to-end', 'Drive zero-to-one work: break down high-level goals, explore ambiguity, and experiment on solutions', 'Contribute to technical architecture and the company’s team and culture as an early employee', 'Collaborate onsite with cross-functional teams for product delivery and iteration', 'Work with the company tech stack (TypeScript, React, Node, Postgres, GraphQL/Apollo, Next.js)']","['2+ years of experience as a software engineer', 'Demonstrated expertise in at least one part of the stack (front-end or back-end)', 'Strong desire to understand customer problems and design practical solutions', 'Comfort with self-directed learning in an early-stage startup environment', 'Familiarity or interest in TypeScript, React, GraphQL, Postgres, or Next.js', 'Willingness to work onsite in San Francisco']",,3,2
Pulley,Equity management for high growth startups.,https://pulley.com/,Customer Support Specialist,Remote,"Jul 3, 2025",https://job-boards.greenhouse.io/pulley/jobs/4030723008,5,,Strong fit overall — multiple open functions (ops/GTM/product/engineering) match your ops+tech and startup/VC experience; slightly weaker for a pure Customer Support Specialist due to limited direct support resume items.,"Pulley is hiring across multiple functions (Customer Success, Product Design, Engineering, Marketing, and Operations) with a mix of remote and U.S.-based roles. The posting lists openings ranging from individual contributor to senior and staff-level positions and indicates use of Greenhouse for applications.","['Manage customer relationships and success programs (onboarding, support, education)', 'Design product experiences and collaborate with cross-functional teams to define product direction', 'Develop and maintain backend systems, infrastructure, and platform-level features (including DevOps/AI work where applicable)', 'Lead and mentor engineering or product teams for senior/management roles', 'Plan and execute marketing campaigns and employee experience or total rewards programs']","['Relevant domain expertise (customer success, product design, backend engineering, marketing, or operations) depending on the role', 'Strong communication and cross-functional collaboration skills', 'Technical skills for engineering roles (backend, DevOps, AI-related technologies) and design/UX skills for product roles', 'Experience in SaaS or startup environments preferred for many roles', 'Ability to work remotely or be located in the United States for roles specifying U.S. location']",,8,
Nominal,The connected hardware test stack.,https://nominal.io/,Area Director - Sales,"New York, NY","Oct 7, 2025",https://jobs.lever.co/nominal/bcd14783-d2ae-4d09-a6ba-39330aa0f9fc,5,,"Strong analytics/ops and client-facing experience but lacks proven territory sales leadership, quota achievement, and direct sales-team management.","Nominal is hiring an Area Director of Sales to lead and grow sales performance across a geographic territory. The role focuses on driving revenue, managing and coaching sales teams, and executing regional sales strategy to meet targets.","['Own regional sales performance and attainment of revenue targets', 'Lead, coach, and develop sales managers and representatives within the territory', 'Build and maintain relationships with key customers and prospects', 'Develop and execute territory and account plans to drive pipeline and growth', 'Collaborate with cross-functional teams (marketing, operations, customer success) to ensure customer satisfaction and deal execution', 'Analyze sales metrics and forecast performance; adjust strategy as needed']","['Proven experience in sales leadership or area/district management', 'Track record of meeting or exceeding sales targets and driving revenue growth', 'Experience managing and developing high-performing sales teams', 'Strong communication, negotiation, and relationship-building skills', 'Ability to travel within the assigned territory as required', 'Bachelor’s degree or equivalent experience (preferred)']",,4,
Nominal,The connected hardware test stack.,https://nominal.io/,Area Director - Sales,"Austin, TX","Oct 7, 2025",https://jobs.lever.co/nominal/205eb559-b828-4463-a9ff-b61d92e8c85d,5,,Strong analytics/strategy background but lacks proven B2B sales quota attainment and experience managing sales teams or territories.,"Nominal is hiring an Area Director of Sales to lead and grow regional sales efforts, manage and coach a sales team, develop and execute territory strategy, and drive revenue and customer relationships for the company.","['Develop and execute regional sales strategy to meet revenue and growth targets', 'Lead, mentor, and manage a team of sales representatives across the territory', 'Build and maintain relationships with key customers, partners, and stakeholders', 'Forecast sales, track performance metrics, and report results to senior leadership', 'Identify new market opportunities and coordinate go-to-market activities', 'Collaborate with cross-functional teams (marketing, operations, product) to support customer needs and close deals']","['Proven track record in B2B sales and meeting/exceeding revenue targets', 'Experience managing and developing high-performing sales teams', 'Strong strategic planning, territory management, and pipeline development skills', 'Excellent communication, negotiation, and relationship-building abilities', 'Comfortable with data-driven forecasting and CRM tools', 'Willingness to travel as needed for territory coverage', 'Bachelor’s degree or equivalent experience preferred']",,3,
Opal Security,Security built for every identity.,https://opal.dev/,Software Engineer,San Francisco,"Aug 29, 2024",https://jobs.ashbyhq.com/opal/d96e2c87-4cc4-45ac-a3a3-1c6060a90bf1,5,,"Has CS/data foundations and customer-facing experience but lacks demonstrated full‑stack production/architecture and IAM/security expertise, and prefers business/strategy roles.","Software Engineer at Opal Security building AI-native identity governance and intelligent access management. Full‑stack role that partners with customers (startups to Fortune 500s) to design, build, and ship scalable access-management features; based in New York City or San Francisco and focused on thoughtful engineering in a collaborative team.","['Own critical product areas from concept to production: design and build features across the full stack and make architectural decisions', 'Work directly with customers to validate solutions and understand real-world IAM problems', 'Ensure systems scale as the company grows', ""Multiply the team's impact by writing reusable code, establishing patterns, sharing knowledge, and shaping engineering practices""]","['Ability to build end-to-end solutions across frontend and backend', 'Creative problem solver who questions requirements and proposes better approaches', 'Comfortable working in ambiguous/undefined spaces and figuring out what to build', 'Willingness to engage with customers to understand needs', 'Interest or curiosity in IAM/security']",,3,
Opal Security,Security built for every identity.,https://opal.dev/,Enterprise Account Executive,San Francisco,"Aug 23, 2024",https://jobs.ashbyhq.com/opal/5ad5c4cb-1987-4896-9bd9-763f9ca00f3a,6,,Seniority,"Enterprise Account Executive at Opal Security: sell Opal’s access management platform to enterprise customers, owning the full sales cycle and collaborating with internal teams to drive adoption, renewals, and upsells. Opal builds an authorization hub focused on simplicity, enterprise scale, reliability, and security. Role is based in New York City or San Francisco.","['Define and execute sales strategies to meet and exceed quota', 'Manage the full sales cycle: prospecting, qualifying, running POVs, and closing opportunities', 'Partner with CSM and SE teams to deliver customer value, identify upsell opportunities, and ensure timely renewals', 'Maintain knowledge of the access management industry and competitive landscape', 'Collaborate with GTM on sales best practices, messaging, and pipeline generation', 'Advocate for customers with Sales Engineering, Product, and Marketing to inform prioritization', 'Document results and keep accurate data in sales systems']","['5+ years of quota-carrying field sales experience in a fast-paced, competitive market', 'Proven track record of landing net new logos', 'Consistent history of meeting or exceeding sales quotas', 'Experience selling complex enterprise software; security and infrastructure experience preferred', 'Strong executive presence and experience selling into the C-suite', 'Curious, highly driven self-starter with startup experience']",,0,5
Reflection,Frontier open intelligence accessible to all.,https://reflection.ai/blog/frontier-open-intelligence,Member of Technical Staff - Software Engineer,SF,"Oct 7, 2025",https://jobs.ashbyhq.com/reflectionai/5fa84d35-6e2c-409c-b2fe-6bc211a94091,5,,Good ML coursework/Python but lacks production backend/platform experience and the role is a deep SWE position misaligned with your business/strategy-focused goals.,"Reflection is a startup building open superintelligence and open-weight models. They seek a Member of Technical Staff / Software Engineer to build core software systems, services, APIs and platforms that power research, training, deployment and evaluation of large-scale AI models across San Francisco, New York City, and London.","['Design and implement reliable, scalable, and secure services supporting model development, deployment, and evaluation', 'Build core software systems and tools for research, training, and production environments', 'Develop APIs, SDKs, and internal platforms to enable rapid experimentation and high-velocity iteration', 'Create foundational layers that unify data, compute, and workflow management across model development', 'Drive engineering excellence and collaborate across research and infrastructure teams']","['Strong software engineering background with experience shipping production-grade systems', 'Experience designing APIs, services, or developer platforms that handle large-scale data or compute', 'Ability to navigate complex codebases, debug difficult problems, and optimize for reliability and speed', 'Comfortable working in a high-agency, fast-paced startup environment and tackling zero-to-one projects', 'Collaborative communicator who can work across research and infrastructure boundaries', 'Motivation to build the software backbone for open-weight AI systems']",,3,
Reflection,Frontier open intelligence accessible to all.,https://reflection.ai/blog/frontier-open-intelligence,Member of Technical Staff - Data and Evals,SF,"Oct 7, 2025",https://jobs.ashbyhq.com/reflectionai/b87503e3-f7be-437d-aa79-d989ab816589,7,,"Relevant ML coursework and tooling (Python, TensorFlow, data ops) but lacks direct experience building evaluation pipelines, human-preference/agentic tests, or foundation-model scale work — role is highly specialized.","Reflection is an early-stage lab building open foundational models. The Member of Technical Staff - Data and Evals will design and build data and evaluation systems and frameworks to measure and drive model quality across pre-training and post-training, using synthetic tests, human feedback, and real-world interaction data.","['Design and build data and evaluation systems that determine and drive model quality across pre-training and post-training', 'Develop rigorous, generalizable evaluation frameworks for reasoning, alignment, and usefulness', 'Create and run synthetic evaluations, human preference evaluations, and agentic task assessments', 'Collaborate closely with pre-training, post-training, and applied teams to close the loop between data, evaluations, and model behavior', 'Push boundaries of what’s measurable using benchmarks, human feedback, and real-world interaction data']","['Deep understanding of data quality, curation, and measurement for large-scale ML', 'Experience building robust data or evaluation pipelines for foundation models or similar large systems', 'Familiarity with evaluation methodologies (static benchmarks, human preference evals, agentic tasks)', 'High agency and ability to work in a fast-paced startup environment with a bias for impact', 'Collaborative, detail-oriented, and motivated to build feedback loops that improve models']",,4,
Reflection,Frontier open intelligence accessible to all.,https://reflection.ai/blog/frontier-open-intelligence,Don't See Your Role? Apply Here!,SF,"Oct 7, 2025",https://jobs.ashbyhq.com/reflectionai/bb02e922-8df8-4641-9aab-910997f76392,8,,"Strong company-building, ops/GTM and ML exposure for an early AI startup/deployment role; lacks deep research/engineer track record.","Reflection is hiring via an open application ('Don't See Your Role? Apply Here!') for people who want to help build open superintelligence and open-weight foundational models. The company is a small, talent-dense AI team (people from DeepMind, OpenAI, Google Brain, Meta, Character.AI, Anthropic, etc.) and offers competitive compensation, benefits, parental leave, and office locations in San Francisco, New York City, and London.","['Contribute to building open superintelligence and open-weight foundational models for individuals, agents, and enterprises', ""Work from the ground up as part of a small, talent-dense team to help define the company's future and the frontier of foundational models"", 'Collaborate with researchers and builders across disciplines and participate in company culture (regular meals, off-sites, team celebrations)', 'Apply proactively even if no specific role is listed']","['Alignment with Reflection’s mission to build open superintelligence', 'Relevant skills or background in AI research, machine learning, engineering, or company building (implicit from team composition)', 'Willingness to work full-time and be based or work with teams in San Francisco, New York City, or London', 'Interest in joining a small, early-stage, high-impact team']",,7,
Reflection,Frontier open intelligence accessible to all.,https://reflection.ai/blog/frontier-open-intelligence,Executive Assistant to the CEO,SF,"Sep 5, 2025",https://jobs.ashbyhq.com/reflectionai/87d98dc2-dcd3-4748-a428-8dd1daf55cfe,6,,"Executive Assistant work is largely administrative with limited analytic/tech/strategy match to the candidate’s goals; posting has no details, making fit uncertain.","The provided posting contains only website/JavaScript boilerplate and asset-loading code with no information about a company, role, responsibilities, or qualifications.",[],[],,3,
Reflection,Frontier open intelligence accessible to all.,https://reflection.ai/blog/frontier-open-intelligence,Technical Sourcer,SF,"Aug 12, 2025",https://jobs.ashbyhq.com/reflectionai/86153e5f-0e48-4f1b-861b-edb8b1d0dea4,6,,Seniority,"Reflection is an AI research company building open superintelligence. They are hiring a Technical Sourcer to own top-of-funnel strategy for recruiting AI Research Scientists and other highly specialized technical talent across SF, NYC, and London.","['Lead sourcing efforts for AI Research Scientists and niche technical roles', 'Build and execute targeted search strategies using LinkedIn Recruiter, Gem, Juicebox, conference lists, academic publications, and open-source contributions', 'Map research communities, track emerging talent, and identify top researchers from leading labs and universities', 'Qualify candidates through initial conversations to assess skills, experience, and research focus', 'Maintain and nurture long-term relationships with top talent', 'Partner with recruiters and hiring managers to refine search criteria and convert leads into hires', 'Track sourcing metrics, conversion rates, and pipeline health to improve efficiency']","['4+ years of technical sourcing experience with proven success in AI/ML research talent acquisition', 'Familiarity with research hiring cycles, publication review, and academic talent mapping', 'Creative sourcing approaches beyond standard job boards', 'Experience with LinkedIn Recruiter, Gem, Juicebox, and similar sourcing tools', 'Strong communication and relationship-building skills with highly specialized talent', 'Detail-oriented, metrics-driven, and comfortable working in a high-velocity startup', 'Willingness to work onsite in San Francisco, New York City, or London (no remote candidates)']",,0,4
Reflection,Frontier open intelligence accessible to all.,https://reflection.ai/blog/frontier-open-intelligence,Full Cycle Technical Recruiter - Research,SF,"Aug 12, 2025",https://jobs.ashbyhq.com/reflectionai/602fc374-1562-4163-b048-d06708968ef0,7,,Seniority,"Full Cycle Technical Recruiter - Research at Reflection, an AI company building open superintelligence. The role owns end-to-end hiring for research and specialized technical roles, sourcing and closing top AI/ML research talent, partnering with hiring managers, and using data to optimize recruiting. The position is onsite in San Francisco and offers competitive compensation and equity.","['Own end-to-end recruitment for Research teams and other specialized technical roles', 'Source candidates via LinkedIn Recruiter, Gem, Juicebox, academic channels, publications, and conferences', 'Develop and execute data-driven sourcing strategies to target niche AI research talent', 'Partner with hiring managers to define role requirements, success profiles, and evaluation criteria', 'Build and maintain candidate pipelines and nurture long-term relationships with passive talent', 'Manage interviews, candidate experience, and offer negotiations to close top talent', 'Track recruiting funnel metrics and provide data-driven insights to improve hiring velocity and quality']","['4+ years of full-cycle technical recruiting experience, ideally in AI/ML, research, or deep tech', 'Proven track record sourcing and closing research-focused candidates (e.g., AI scientists, ML engineers)', 'Expert use of LinkedIn Recruiter, Gem, Juicebox, and other sourcing tools', 'Data-driven mindset with ability to measure, analyze, and improve recruiting performance', 'Comfortable conducting deep research into niche technical fields, publications, and academic networks', 'Ability to work onsite in San Francisco (remote candidates not considered)']",,0,4
David AI,The data layer for audio AI.,https://www.linkedin.com/company/david-ai,Deployment Strategist,San Francisco,"Aug 17, 2025",https://jobs.ashbyhq.com/david-ai/38337259-253a-4b4c-a066-884ed1f53eed,8,,Seniority,"Deployment Strategist at David AI — join the Forward Deployed team to partner with customers on critical audio AI initiatives, shaping strategy and guiding audio training programs while working closely with senior stakeholders, research, and engineering teams. David AI is an audio data research company focused on high-quality training datasets for AI.","['Lead customer journeys end-to-end from ideation to launch.', 'Build and maintain consultative relationships across multiple business units and seniority levels within customer organizations.', 'Translate customer objectives and collaborate with research and engineering to design actionable strategies for long-term success.', 'Identify new opportunities within accounts where David AI’s data and research insights add value.', 'Develop and execute strategic account plans to align stakeholders and advance opportunities through decision and review processes.']","['4+ years of relevant experience (deployment strategy, consulting, product or program management, founder, etc.), ideally at a fast-growing startup or tech company.', 'Familiarity with the AI training lifecycle and strong technical intuition for what makes high-quality training data.', 'Experience designing and executing strategies to capture, grow, and retain revenue.', 'Excellent verbal and written communication skills.', 'Proven project management skills with high attention to detail and strong organizational ability.', 'Experience building and managing cooperative relationships across technical teams and senior executives.', 'Ability to thrive in dynamic, undefined situations and contribute to both design and execution of solutions.', 'Preferred: Track record in B2B client-facing roles, including opportunity generation and closing complex solutions to technical customers.', 'Preferred: Education or professional experience in CS, Engineering, Data Science, Statistics, or other STEM fields.', 'Preferred: Proficiency in SQL, Python, or other data-science-related programming languages.']",,0,4
David AI,The data layer for audio AI.,https://www.linkedin.com/company/david-ai,Chief of Staff,San Francisco,"Aug 15, 2025",https://jobs.ashbyhq.com/david-ai/3d533fb7-e534-4071-957b-f0ead4fb6d49,9,,High fit—candidate’s strategy/ops/analytics experience aligns with Chief of Staff; lack of job details reduces confidence.,"The provided posting contains no job or company information. It appears to be a web application placeholder/loader page with JavaScript, CSS, CDN asset loading, and configuration details (e.g., reCAPTCHA, app data). No role description is present.",[],[],,8,
David AI,The data layer for audio AI.,https://www.linkedin.com/company/david-ai,Forward Deployed Engineer,San Francisco,"Aug 13, 2025",https://jobs.ashbyhq.com/david-ai/93882c0a-c225-487e-8526-911b355c5837,7,,"Strong ML/data and customer-facing/product ops experience, but limited proven full‑stack/0→1 engineering ownership and audio/human‑data background.","Forward Deployed Engineer at David AI, an audio data research startup. The role focuses on building and shipping 0→1 products that scale new audio-data capabilities, collaborating with operations and customers, and moving between technical engineering, product, and customer-facing responsibilities.","['Design and ship custom 0→1 products for operations teams and customers', 'Build apps to capture new classes of speech data', 'Prompt-engineer evaluators and develop data-quality tooling', 'Embed with customer engineering teams to maximize dataset value', 'Switch rapidly between technical deep-dives, customer-facing conversations, and data operations']","['Proven ability to build products from 0→1 quickly (scrappy builder)', 'Excellent communication skills; able to bridge technical and business contexts', 'Comfortable across the stack: backend, frontend, data, and cloud', 'Proven track record shipping fast-paced features with customer impact', 'Prior experience as a Forward Deployed Engineer at a high-growth company or equivalent mix of software engineering and product management experience', 'Bonus: founder experience, enterprise customer ownership, familiarity with human data/audio/ML, or top-tier consulting background']",,5,
Unify,Transform growth into a science.,https://www.unifygtm.com/,Software Engineer - AI,San Francisco Office,"Oct 30, 2025",https://jobs.ashbyhq.com/unify/704a93f1-74a6-482f-acd7-f0d226d83055,5,,Solid ML coursework and data-science skills but lacks 3+ years of production software/LLM engineering experience and the role is an engineering-first position misaligned with the candidate’s business/strategy focus.,"Unify is an early-stage GTM startup building a system-of-action for go-to-market teams to power warm outbound. They are hiring a Software Engineer - AI to build and scale production AI products and platform capabilities (agents, retrieval, fine-tuning, RL, and LLM inference) used by GTM teams. The role is full-time and onsite in San Francisco or New York City, with a salary range of $180k–$250k plus equity and benefits.","['Ship novel AI projects and features end-to-end', 'Build and scale AI infrastructure to support production inference', 'Develop and improve engineering processes, tools, and systems to scale AI solutions across the company', 'Create novel AI capabilities and advance agent-based features', 'Collaborate with frontier labs (e.g., OpenAI) to test and iterate on models and features before public release']","['3+ years of software engineering experience and at least 1 year working in AI', 'Proven track record delivering full-stack AI projects, especially production use cases of LLMs and Agents', 'Experience building backend systems and infrastructure for AI-driven products', 'Empirical, experiment-driven approach to product development', 'Customer-obsessed, creative, and able to turn high-level product ideas into deployed engineering solutions', 'Willingness to work onsite in San Francisco or New York City (full-time)']",,3,3
Unify,Transform growth into a science.,https://www.unifygtm.com/,Business Operations,San Francisco Office,"Sep 29, 2025",https://jobs.ashbyhq.com/unify/6b81adc8-a1e8-44aa-935d-8db5692c1010,9,,Seniority,"Business Operations at Unify — an early-stage B2B SaaS company (founded 2023) building a system-of-action for go-to-market teams to power warm outbound. The role owns a core operational process at the intersection of product, engineering, and post-sales, driving metrics, monitoring, data infrastructure, and roadmap decisions to scale a critical product surface area. Onsite in San Francisco or New York City; full-time.","['Take end-to-end ownership of a critical operational system that powers the product offering', 'Build metrics frameworks, monitoring, alerting, and define success criteria for the operational process', 'Design data infrastructure, dashboards, and operational playbooks to scale the process 10x', 'Translate operational insights into product roadmap decisions in partnership with product and engineering', 'Develop customer engagement strategies with post-sales and product operations to improve satisfaction and outcomes', 'Identify bottlenecks and design scalable solutions to ensure smooth execution across onboarding through expansion']","['4+ years experience in business operations, revenue operations, or strategy & operations at a high-growth B2B SaaS company', 'Proven end-to-end ownership of a critical business process with measurable impact on outcomes', 'Strong data fluency (comfortable with SQL; able to build dashboards in Looker/Omni/Amplitude and use data to drive improvements)', 'Cross-functional leadership skills and ability to align teams and manage competing priorities', 'Bias toward action with both strategic thinking and hands-on execution', 'Preferred: experience managing a team of operators or in customer success strategy/operations', 'Preferred: background in consulting, investment banking, or other analytical roles', 'Preferred: experience with workflow automation tools (e.g., Zapier, N8N) or custom integrations', 'Willingness/ability to work onsite in San Francisco, CA or New York City, NY']",,0,4
Unify,Transform growth into a science.,https://www.unifygtm.com/,Sales Engineer,New York Office,"Sep 2, 2025",https://jobs.ashbyhq.com/unify/136ac1a9-bfde-4fdb-92ee-3d59b923e663,7,,"Strong technical/GTM interest and demo-able skills, but lacks 3+ years of SaaS pre-sales/Sales Engineer experience and direct RevOps/outsbound demo/pilot ownership.","Unify is an early-stage SaaS startup building a system-of-action for go-to-market teams to power warm outbound. They're hiring an Upmarket Sales Engineer to be the technical face of the product, working with Account Executives and prospects to demo solutions, run pilots, and translate customer needs into tailored technical implementations. Role is hybrid (San Francisco or New York, ~3 days/week).","['Partner with Account Executives as the technical lead in customer conversations', 'Lead discovery calls and translate customer needs into tailored technical solutions', 'Deliver compelling product demos (Signals, Plays, Sequences, AI Agents, Dashboards)', 'Support pilots and proof-of-value engagements and guide technical setup', 'Collaborate with Product, Engineering, and Customer Success to surface customer feedback', 'Prepare technical collateral (architectures, competitive analyses, customer-facing materials)', 'Monitor product roadmap and competitive landscape to inform positioning', 'Advocate for customer needs and product improvements internally']","['3+ years in a Sales Engineer, Solutions Engineer, or similar role (ideally in SaaS / GTM platforms)', 'Strong understanding of prospecting, outbound/inbound workflows, and AI-driven personalization', 'Excellent demo and presentation skills; able to explain complex workflows to varied stakeholders', 'Strong verbal and written communication; able to simplify technical concepts for customers and teams', 'Curious, adaptive, iterative mindset and customer-first orientation', 'Alignment with company values: humility, ownership, structured progress, and customer focus', 'Bonus: familiarity with Unify’s product, RevOps tools, and growth/marketing stack integrations']",,4,3
